,1,5,223.0,55.0
,2,5,458.0,89.0
,3,4,202.0,68.0
,4,4,399.0,157.0
,5,4,416.0,150.0
,6,4,432.0,150.0
,7,4,457.0,142.0
,8,4,497.0,140.0
,9,4,523.0,141.0
,10,4,600.0,142.0
,11,4,650.0,161.0
,12,3,196.0,97.0
,13,3,211.0,95.0
,14,3,324.0,133.0
,15,3,334.0,145.0
,16,3,341.0,145.0
,17,3,406.0,151.0
,18,3,437.0,160.0
,19,2,138.0,57.0
,20,2,146.0,82.0
,21,2,155.0,87.0
,22,2,165.0,91.0
,23,2,178.0,91.0
,24,2,188.0,106.0
,25,2,199.0,106.0
,26,2,208.0,125.0
,27,2,209.0,105.0
,28,2,223.0,134.0
,29,2,224.0,129.0
,30,2,228.0,141.0
,31,2,230.0,77.0
,32,2,235.0,111.0
,33,2,247.0,153.0
,34,2,251.0,122.0
,35,2,251.0,125.0
,36,2,256.0,141.0
,37,2,258.0,142.0
,38,2,262.0,137.0
,39,2,270.0,136.0
,40,2,271.0,99.0
,41,2,277.0,155.0
,42,2,290.0,144.0
,43,2,295.0,158.0
,44,2,296.0,146.0
,45,2,304.0,157.0
,46,2,360.0,153.0
,47,2,404.0,144.0
,48,2,633.0,157.0
,49,1,45.0,45.0
,50,1,60.0,60.0
,51,1,71.0,71.0
,52,1,73.0,73.0
,53,1,78.0,78.0
,54,1,81.0,81.0
,55,1,83.0,83.0
,56,1,86.0,86.0
,57,1,90.0,90.0
,58,1,94.0,94.0
,59,1,103.0,103.0
,60,1,107.0,107.0
,61,1,108.0,108.0
,62,1,109.0,109.0
,63,1,113.0,113.0
,64,1,114.0,114.0
,64,1,114.0,114.0
,66,1,115.0,55.0
,67,1,117.0,97.0
,68,1,120.0,120.0
,69,1,121.0,121.0
,70,1,122.0,122.0
,71,1,124.0,84.0
,72,1,126.0,126.0
,73,1,128.0,128.0
,74,1,130.0,70.0
,75,1,132.0,112.0
,76,1,134.0,134.0
,77,1,135.0,95.0
,78,1,136.0,136.0
,79,1,140.0,120.0
,80,1,140.0,140.0
,81,1,146.0,146.0
,82,1,147.0,147.0
,83,1,148.0,128.0
,84,1,149.0,109.0
,85,1,153.0,153.0
,86,1,154.0,154.0
,87,1,155.0,155.0
,88,1,160.0,160.0
